               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.039823,            0.088389,                   0,                   0,                   0,                   0,            0.098799,            0.026561,             0.06301,              0.0766,              0.0026,              0.0026
                   1,            0.098192,            0.039229,            0.076756,                   0,                   0,                   0,                   0,            0.097725,            0.026691,            0.062997,            0.052274,           0.0052738,           0.0052738
                   2,            0.090856,            0.038674,             0.07191,                   0,                   0,                   0,                   0,            0.097302,            0.026173,            0.063025,            0.027921,           0.0079208,           0.0079208
                   3,            0.081684,             0.03883,            0.068891,           0.0040988,             0.04697,           0.0027703,          0.00048848,            0.079669,            0.026874,            0.060741,           0.0098515,           0.0098515,           0.0098515
                   4,            0.073649,            0.036916,            0.067814,            0.093567,            0.048485,            0.016711,            0.003961,                 nan,                 nan,             0.63374,           0.0098515,           0.0098515,           0.0098515
                   5,            0.070353,            0.032701,            0.066712,             0.45673,            0.066667,            0.009556,           0.0016245,            0.098471,             0.16437,             0.26157,            0.009802,            0.009802,            0.009802
                   6,            0.065093,            0.030426,              0.0648,               0.554,            0.030303,           0.0083627,           0.0017715,            0.090658,            0.027958,             0.14956,           0.0097525,           0.0097525,           0.0097525
                   7,            0.063764,            0.026078,            0.063602,           0.0061258,             0.32424,            0.014334,           0.0034439,            0.073491,            0.016391,            0.059293,            0.009703,            0.009703,            0.009703
                   8,            0.059771,            0.026426,            0.062067,             0.97038,            0.072727,             0.12043,             0.03349,            0.053612,            0.016791,            0.058829,           0.0096535,           0.0096535,           0.0096535
                   9,            0.058753,            0.024739,             0.06073,             0.97236,            0.090909,             0.18465,            0.065851,            0.043635,            0.015506,            0.055771,            0.009604,            0.009604,            0.009604
                  10,            0.055952,            0.023271,            0.059941,             0.21585,             0.32879,              0.1251,            0.039621,            0.049412,            0.018998,            0.053754,           0.0095545,           0.0095545,           0.0095545
                  11,            0.053284,            0.020641,            0.058508,             0.19665,             0.23814,             0.26786,             0.12454,            0.041014,            0.015236,            0.050597,            0.009505,            0.009505,            0.009505
                  12,            0.050242,            0.020784,            0.057129,             0.19077,             0.25204,             0.28038,             0.10052,            0.042349,            0.014493,            0.051895,           0.0094555,           0.0094555,           0.0094555
                  13,            0.052452,            0.019757,            0.055883,             0.23748,             0.47424,             0.30341,              0.1506,            0.038182,            0.014524,            0.048473,            0.009406,            0.009406,            0.009406
                  14,            0.050377,            0.018432,             0.05366,             0.23072,             0.37377,             0.37801,             0.19059,            0.038299,            0.013695,            0.046522,           0.0093565,           0.0093565,           0.0093565
                  15,            0.049273,            0.019097,            0.054128,             0.30364,              0.4151,             0.43381,             0.21378,            0.034658,            0.012881,            0.047043,            0.009307,            0.009307,            0.009307
                  16,            0.047859,            0.017296,            0.051658,              0.2485,             0.59011,             0.42802,              0.1767,            0.038098,            0.012662,            0.045199,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047176,            0.017244,            0.051838,             0.33677,             0.60482,             0.53633,             0.27356,            0.036401,            0.011489,            0.044743,            0.009208,            0.009208,            0.009208
                  18,            0.045514,            0.016866,            0.048238,             0.27879,             0.51694,             0.58765,             0.30769,             0.03274,            0.011754,             0.04379,           0.0091585,           0.0091585,           0.0091585
