               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092651,            0.033684,            0.082628,           0.0029978,             0.69565,            0.017098,           0.0043258,            0.066329,            0.019951,            0.076404,            0.070682,           0.0032576,           0.0032576
                   1,             0.06747,            0.025245,            0.077989,           0.0031449,             0.85507,            0.034778,           0.0083938,            0.066828,            0.016213,            0.072575,            0.040656,           0.0065648,           0.0065648
                   2,            0.060874,            0.020067,            0.075106,           0.0032697,             0.97391,            0.071527,            0.022898,            0.051517,            0.014914,            0.070213,            0.010603,           0.0098456,           0.0098456
                   3,            0.054064,            0.017107,            0.071023,             0.19651,             0.16658,             0.15909,            0.055158,            0.050139,            0.011418,            0.066913,           0.0098812,           0.0098812,           0.0098812
                   4,            0.048003,            0.014156,            0.069488,             0.26938,             0.33062,               0.303,             0.14716,            0.046033,           0.0094264,            0.063361,           0.0098812,           0.0098812,           0.0098812
                   5,            0.044357,            0.012725,            0.066384,             0.31231,             0.45434,             0.43926,             0.19371,             0.03658,           0.0089853,             0.06219,           0.0098416,           0.0098416,           0.0098416
                   6,            0.041149,            0.011805,            0.064473,             0.39634,             0.50324,             0.48574,             0.28888,            0.032044,            0.007819,            0.059573,            0.009802,            0.009802,            0.009802
                   7,            0.038711,            0.011213,            0.060505,             0.35423,             0.56676,             0.54229,             0.32056,            0.029942,           0.0072715,            0.056148,           0.0097624,           0.0097624,           0.0097624
                   8,            0.038374,            0.010614,            0.057762,             0.48562,             0.60674,             0.63255,             0.37865,             0.03297,           0.0074494,            0.052013,           0.0097228,           0.0097228,           0.0097228
                   9,            0.037468,            0.010308,            0.052999,             0.49063,             0.61772,             0.63449,             0.33711,            0.035013,           0.0073623,            0.048764,           0.0096832,           0.0096832,           0.0096832
                  10,            0.038094,            0.010398,            0.050515,             0.61921,             0.66127,             0.70134,             0.43548,            0.032801,           0.0077661,            0.043975,           0.0096436,           0.0096436,           0.0096436
                  11,            0.036664,            0.010099,            0.046604,             0.67288,             0.70756,             0.77465,             0.45842,            0.029569,             0.00741,            0.040937,            0.009604,            0.009604,            0.009604
                  12,            0.035397,            0.010223,            0.043355,             0.62739,             0.74611,             0.75629,             0.51288,              0.0291,           0.0074317,            0.037153,           0.0095644,           0.0095644,           0.0095644
                  13,            0.035794,           0.0097427,            0.039847,              0.7433,             0.78572,             0.80388,             0.50399,             0.02867,           0.0070889,            0.034608,           0.0095248,           0.0095248,           0.0095248
                  14,            0.033809,           0.0093894,             0.03434,             0.73227,             0.81912,             0.86109,              0.5504,            0.029266,           0.0076734,            0.028983,           0.0094852,           0.0094852,           0.0094852
                  15,            0.036174,           0.0095682,            0.031212,             0.74449,             0.84367,             0.85097,             0.53448,            0.033126,           0.0073484,            0.024679,           0.0094456,           0.0094456,           0.0094456
                  16,            0.036184,           0.0098252,            0.029242,             0.79241,              0.8834,             0.90623,             0.55861,            0.029537,           0.0070586,            0.022757,            0.009406,            0.009406,            0.009406
                  17,            0.034872,           0.0095842,            0.026357,             0.79777,             0.88346,             0.89335,             0.61115,            0.029415,           0.0071258,            0.020809,           0.0093664,           0.0093664,           0.0093664
                  18,            0.035294,           0.0093267,            0.023167,             0.84938,             0.88936,             0.91478,             0.55641,            0.030489,           0.0070487,            0.018853,           0.0093268,           0.0093268,           0.0093268
                  19,            0.034779,           0.0091145,            0.022363,             0.86338,             0.90257,              0.9344,             0.60877,            0.028166,           0.0071838,            0.019074,           0.0092872,           0.0092872,           0.0092872
                  20,             0.03331,           0.0091472,            0.019538,             0.84715,             0.89514,              0.9117,             0.60643,            0.028903,           0.0070573,            0.016809,           0.0092476,           0.0092476,           0.0092476
                  21,            0.033681,           0.0091071,             0.01744,             0.86094,             0.89414,             0.93036,             0.59827,            0.031752,           0.0072386,            0.015395,            0.009208,            0.009208,            0.009208
