               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099019,            0.027197,            0.078423,           0.0019273,              0.4902,           0.0057757,           0.0012337,             0.06115,            0.016401,            0.056181,              0.0721,              0.0031,              0.0031
                   1,            0.070268,            0.025899,             0.07258,           0.0029857,              0.8902,            0.063163,            0.019242,            0.052341,            0.012484,            0.052374,            0.043269,           0.0062688,           0.0062688
                   2,            0.062622,             0.02165,            0.068462,           0.0034167,             0.98824,             0.14724,            0.049032,            0.042703,             0.01072,            0.049168,            0.014406,           0.0094059,           0.0094059
                   3,             0.05604,            0.019076,            0.065001,             0.51457,             0.17141,             0.27543,            0.095998,            0.041524,           0.0091617,            0.047454,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050179,             0.01721,            0.061952,             0.41727,              0.5277,             0.52384,             0.26884,            0.033621,           0.0078811,            0.043874,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045573,             0.01463,            0.060221,             0.36099,             0.48903,             0.53035,             0.23721,            0.037367,           0.0071784,            0.043278,            0.009802,            0.009802,            0.009802
                   6,            0.044376,            0.013658,            0.057741,             0.46016,             0.66992,             0.57383,             0.27595,            0.032048,           0.0064702,            0.037132,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041765,             0.01225,            0.054545,             0.47402,             0.69804,             0.62258,             0.32979,             0.03367,           0.0051901,            0.034774,            0.009703,            0.009703,            0.009703
                   8,            0.040897,            0.011413,            0.051039,             0.54062,             0.74703,             0.68428,             0.39608,            0.029723,           0.0048017,            0.033921,           0.0096535,           0.0096535,           0.0096535
                   9,            0.038762,            0.010709,            0.047245,             0.61338,             0.82122,             0.74483,             0.40685,             0.03084,           0.0050517,            0.030046,            0.009604,            0.009604,            0.009604
                  10,            0.038037,             0.01048,            0.045529,             0.66487,             0.87305,             0.80639,             0.47567,             0.02662,           0.0048165,            0.027578,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036811,            0.010512,            0.042168,             0.52807,             0.83633,              0.8046,             0.55424,            0.021238,           0.0044731,            0.026477,            0.009505,            0.009505,            0.009505
                  12,            0.035627,           0.0097502,            0.040727,             0.59712,             0.85882,             0.83359,              0.5751,            0.022271,           0.0043157,            0.024898,           0.0094555,           0.0094555,           0.0094555
                  13,            0.034035,            0.009593,            0.036837,             0.61779,              0.8785,             0.80549,             0.48374,            0.023515,           0.0047336,            0.022999,            0.009406,            0.009406,            0.009406
                  14,            0.034973,           0.0099878,            0.036459,             0.61942,             0.86561,             0.84567,             0.53703,             0.02621,           0.0047553,            0.020844,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036294,           0.0096662,             0.03192,             0.67625,             0.89102,             0.87223,             0.57681,            0.021812,            0.004525,            0.019041,            0.009307,            0.009307,            0.009307
                  16,            0.033572,            0.009403,            0.030322,             0.69935,             0.89632,              0.8424,              0.5854,            0.024407,           0.0044188,            0.017476,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035516,           0.0095782,            0.027727,             0.85598,             0.88989,               0.913,             0.57388,            0.022382,           0.0041859,            0.016574,            0.009208,            0.009208,            0.009208
                  18,            0.034797,           0.0094174,            0.026003,             0.81933,             0.87898,             0.89416,             0.62579,            0.022256,           0.0042264,             0.01528,           0.0091585,           0.0091585,           0.0091585
                  19,            0.033553,           0.0093776,            0.026197,             0.77362,             0.88611,             0.92279,             0.59835,            0.022066,           0.0041909,            0.014105,            0.009109,            0.009109,            0.009109
                  20,            0.033043,           0.0092851,            0.023535,             0.84393,             0.89215,             0.93335,              0.6768,            0.019198,           0.0041879,            0.013153,           0.0090595,           0.0090595,           0.0090595
                  21,            0.032457,           0.0084194,            0.021359,             0.81402,             0.95806,             0.94342,             0.66032,            0.023794,            0.004439,            0.011779,             0.00901,             0.00901,             0.00901
                  22,            0.034068,           0.0088603,            0.021854,             0.82428,             0.96956,             0.94589,             0.68788,            0.020354,           0.0042139,             0.01165,           0.0089605,           0.0089605,           0.0089605
